code,name
ARC,Arnhem Coast
ARP,Arnhem Plateau
AA,Australian Alps
AW,Avon Wheatbelt
BBN,Brigalow Belt North
BBS,Brigalow Belt South
BEL,Ben Lomond
BRT,Burt Plain
CAR,Carnarvon
CA,Central Arnhem
CK,Central Kimberley
CR,Central Ranges
CHC,Channel Country
CMC,Central Mackay Coast
COO,Coolgardie
CP,Cobar Peneplain
CYP,Cape York Peninsula
DAB,Daly Basin
DAC,Darwin Coastal
DL,Dampierland
DEU,Desert Uplands
DMR,Davenport Murchison Ranges
DRP,Darling Riverine Plains
EIU,Einasleigh Uplands
ESP,Esperance Plains
EYB,Eyre Yorke Block
FIN,Finke
FLB,Flinders Lofty Block
FLI,Flinders
GAS,Gascoyne
GAW,Gawler
GS,Geraldton Sandplains
GFU,Gulf Fall and Uplands
GD,Gibson Desert
GSD,Great Sandy Desert
GUC,Gulf Coastal
GUP,Gulf Plains
GVD,Great Victoria Desert
HAM,Hampton
JF,Jarrah Forest
KAN,Kanmantoo
KIN,King
LSD,Little Sandy Desert
MAC,MacDonnell Ranges
MAL,Mallee
MGD,Mitchell Grass Downs
MII,Mount Isa Inlier
ML,Mulga Lands
MUR,Murchison
NCP,Naracoorte Coastal Plain
NET,New England Tablelands
NNC,NSW North Coast
NK,Northern Kimberley
NSS,NSW South Western Slopes
NUL,Nullarbor
OVP,Ord Victoria Plain
PCK,Pine Creek
PIL,Pilbara
RIV,Riverina
SCP,South East Coastal Plain
SEC,South East Corner
SEH,South Eastern Highlands
SEQ,South Eastern Queensland
SSD,Simpson Strzelecki Dunefields
STP,Stony Plains
STU,Sturt Plateau
VVP,Victorian Volcanic Plain
SWA,Swan Coastal Plain
SB,Sydney Basin
TAN,Tanami
TCH,Tasmanian Central Highlands
TIW,Tiwi Cobourg
TNM,Tasmanian Northern Midlands
TNS,Tasmanian Northern Slopes
TSE,Tasmanian South East
TSR,Tasmanian Southern Ranges
TWE,Tasmanian West
VB,Victoria Bonaparte
VM,Victorian Midlands
WAR,Warren
WT,Wet Tropics
YAL,Yalgoo
